year,ncessch,school_name,state_location,lea_name,school_level,school_type,charter,latitude,longitude,students_chronically_absent,read_test_num_valid,read_test_pct_prof_midpt,math_test_num_valid,math_test_pct_prof_midpt,grad_rate_midpt,school_id,seasch
mixed - most recent,1.10003E+11,Smothers ES,DC,District of Columbia Public Schools,Primary,Regular school,No,38.908049,-76.940576,91,73,12,73,2.5,,1100064,001-322
mixed - most recent,1.10012E+11,Social Justice PCS,DC,Social Justice PCS,Middle,Regular school,Yes,38.954964,-77.002733,,,,,,,1100539,350-1148
mixed - most recent,1.10003E+11,Sousa MS,DC,District of Columbia Public Schools,Middle,Regular school,No,38.88401,-76.953382,96,225,15,227,4,,1100019,001-427
mixed - most recent,1.10006E+11,St. Coletta Special Education PCS,DC,St. Coletta Special Education PCS,Other,Special education school,Yes,38.887209,-76.97649,91,88,7.5,88,12,,1100367,143-1047
mixed - most recent,1.10003E+11,Stanton ES,DC,District of Columbia Public Schools,Primary,Regular school,No,38.859297,-76.96858,200,195,12,195,12,,1100013,001-319
mixed - most recent,1.10011E+11,Statesmen College Preparatory  Academy for Boys PCS,DC,Statesmen College Preparatory Academy for Boys PCS,Middle,Regular school,Yes,38.823755,-77.003023,,54,15,54,15,,1100518,314-1037
mixed - most recent,1.10003E+11,Stoddert ES,DC,District of Columbia Public Schools,Primary,Regular school,No,38.922955,-77.079064,73,190,77,189,87,,1100050,001-321
mixed - most recent,1.10003E+11,Stuart-Hobson MS (Capitol Hill Cluster),DC,District of Columbia Public Schools,Middle,Regular school,No,38.896576,-77.000017,88,441,55,437,24,,1100191,001-428
mixed - most recent,1.10003E+11,Takoma Education Campus,DC,District of Columbia Public Schools,Primary,Regular school,No,38.975007,-77.022775,145,253,25,252,21,,1100011,001-324
mixed - most recent,1.10003E+11,Thaddeus Stevens Early Learning Center,DC,District of Columbia Public Schools,Prekindergarten,Regular school,No,38.903189,-77.046963,,,,,,,1100531,001-1142
mixed - most recent,1.1001E+11,The Children's Guild DC PCS,DC,The Children's Guild DC PCS,Primary,Regular school,Yes,38.92064,-76.972161,120,256,5,256,3,,1100499,188-255
mixed - most recent,1.10002E+11,The SEED PCS of Washington DC,DC,SEED PCS,High,Regular school,Yes,38.887059,-76.9462,16,140,12,142,12,95,1100236,142-174
mixed - most recent,1.10011E+11,The Sojourner Truth School PCS,DC,The Sojourner Truth School PCS,Middle,Regular school,Yes,38.936912,-76.978912,,,,,,,1100535,323-1144
mixed - most recent,1.10003E+11,Thomas ES,DC,District of Columbia Public Schools,Primary,Regular school,No,38.901253,-76.952168,152,133,12,133,12,,1100049,001-325
mixed - most recent,1.10003E+11,Thomson ES,DC,District of Columbia Public Schools,Primary,Regular school,No,38.903467,-77.02853,29,110,32,110,32,,1100076,001-326
mixed - most recent,1.10003E+11,Thurgood Marshall Academy PCS,DC,Thurgood Marshall Academy PCS,High,Regular school,Yes,38.862333,-76.993789,31,92,47,88,27,77,1100249,146-191
mixed - most recent,1.10003E+11,Truesdell Education Campus,DC,District of Columbia Public Schools,Primary,Regular school,No,38.953928,-77.025064,136,310,43,311,27,,1100075,001-327
mixed - most recent,1.10003E+11,Tubman ES,DC,District of Columbia Public Schools,Primary,Regular school,No,38.929153,-77.029141,134,213,20,213,30,,1100074,001-328
mixed - most recent,1.10003E+11,Turner ES,DC,District of Columbia Public Schools,Primary,Regular school,No,38.847583,-76.980201,155,195,7.5,195,22,,1100073,001-329
mixed - most recent,1.10005E+11,Two Rivers PCS - 4th Street,DC,Two Rivers PCS,Primary,Regular school,Yes,38.906727,-77.000203,72,293,51,293,40,,1100279,149-198
mixed - most recent,1.10005E+11,Two Rivers PCS - Young ES,DC,Two Rivers PCS,Primary,Regular school,Yes,38.901162,-76.971308,32,95,27,95,27,,1100498,149-270
mixed - most recent,1.10005E+11,Two Rivers PCS - Young MS,DC,Two Rivers PCS,Middle,Regular school,Yes,38.901162,-76.971308,,,,,,,1100533,149-1152
mixed - most recent,1.10003E+11,Tyler ES,DC,District of Columbia Public Schools,Primary,Regular school,No,38.88095,-76.992375,95,172,32,172,27,,1100072,001-330
mixed - most recent,1.10003E+11,Van Ness ES,DC,District of Columbia Public Schools,Primary,Regular school,No,38.877035,-76.999041,23,38,54.5,38,34.5,,1100505,001-331
mixed - most recent,1.10003E+11,Walker-Jones Education Campus,DC,District of Columbia Public Schools,Primary,Regular school,No,38.904261,-77.01398,256,196,22,196,12,,1100070,001-332
